Constants:

Input Units:		16
Output Units:		26
Hidden Units:		10
Weight Range:		large

**************************************************************

Learning Rate:	5e-06



Training:

Epochs: 0.7898316014186372	|	Error: 500

Epochs: 0.5860925050284053	|	Error: 1000

Epochs: 0.5860625409238035	|	Error: 1500

Epochs: 0.551721503516485	|	Error: 2000

Epochs: 0.5176333909719022	|	Error: 2500

Epochs: 0.5176076360317994	|	Error: 3000

Epochs: 0.4837155539374991	|	Error: 3500

Epochs: 0.4836852966989373	|	Error: 4000

Epochs: 0.4493881414451071	|	Error: 4500

Epochs: 0.41515798114976676	|	Error: 5000

Epochs: 0.34651946192343996	|	Error: 5500

Epochs: 0.3465141884568704	|	Error: 6000

Epochs: 0.3464955524137116	|	Error: 6500

Epochs: 0.3126391881778683	|	Error: 7000

Epochs: 0.31263859278000644	|	Error: 7500

Epochs: 0.3126378942667271	|	Error: 8000

Epochs: 0.31263706098829613	|	Error: 8500

Epochs: 0.3126360461586192	|	Error: 9000

Epochs: 0.31263477721732646	|	Error: 9500

Epochs: 0.31263313444833507	|	Error: 10000



Testing output

Target: U 	|	 Prediction: M

Target: F 	|	 Prediction: M

Target: H 	|	 Prediction: M

Target: B 	|	 Prediction: M

Target: E 	|	 Prediction: M

Target: H 	|	 Prediction: M

Target: U 	|	 Prediction: M

Target: W 	|	 Prediction: M

Target: S 	|	 Prediction: M

Target: O 	|	 Prediction: M

Target: V 	|	 Prediction: M

Target: A 	|	 Prediction: M

Target: C 	|	 Prediction: M

Target: B 	|	 Prediction: M

Target: A 	|	 Prediction: M

Target: H 	|	 Prediction: M

Target: H 	|	 Prediction: M

Target: R 	|	 Prediction: M

Target: X 	|	 Prediction: M

Target: O 	|	 Prediction: M

Target: R 	|	 Prediction: M

Target: O 	|	 Prediction: M

Target: W 	|	 Prediction: M

Target: J 	|	 Prediction: M

Target: V 	|	 Prediction: M

Target: K 	|	 Prediction: M

Target: S 	|	 Prediction: M

Target: C 	|	 Prediction: M

Target: Q 	|	 Prediction: M

Target: X 	|	 Prediction: M

Target: A 	|	 Prediction: M

Target: F 	|	 Prediction: M

Target: T 	|	 Prediction: M

Target: O 	|	 Prediction: M

Target: G 	|	 Prediction: M

Target: K 	|	 Prediction: M

Target: Y 	|	 Prediction: M

Target: H 	|	 Prediction: M

Target: Z 	|	 Prediction: M

Target: C 	|	 Prediction: M

Target: P 	|	 Prediction: M

Target: C 	|	 Prediction: M

Target: Z 	|	 Prediction: M

Target: H 	|	 Prediction: M

Target: H 	|	 Prediction: M

Target: O 	|	 Prediction: M

Target: R 	|	 Prediction: M

Target: A 	|	 Prediction: M

Target: Y 	|	 Prediction: M

Target: N 	|	 Prediction: M

Target: Q 	|	 Prediction: M

Target: F 	|	 Prediction: M

Target: I 	|	 Prediction: M

Target: I 	|	 Prediction: M

Target: R 	|	 Prediction: M

Target: J 	|	 Prediction: M

Target: T 	|	 Prediction: M

Target: D 	|	 Prediction: M

Target: Q 	|	 Prediction: M

Target: P 	|	 Prediction: M

Target: P 	|	 Prediction: M

Target: V 	|	 Prediction: M

Target: W 	|	 Prediction: M

Target: J 	|	 Prediction: M

Target: P 	|	 Prediction: M

Target: K 	|	 Prediction: M

Target: M 	|	 Prediction: M

Target: K 	|	 Prediction: M

Target: N 	|	 Prediction: M

Target: P 	|	 Prediction: M

Target: O 	|	 Prediction: M

Target: F 	|	 Prediction: M

Target: R 	|	 Prediction: M

Target: D 	|	 Prediction: M

Target: D 	|	 Prediction: M

Target: M 	|	 Prediction: M

Target: Z 	|	 Prediction: M

Target: R 	|	 Prediction: M

Target: M 	|	 Prediction: M

Target: T 	|	 Prediction: M

Target: A 	|	 Prediction: M

Target: W 	|	 Prediction: M

Target: W 	|	 Prediction: M

Target: K 	|	 Prediction: M

Target: E 	|	 Prediction: M

Target: F 	|	 Prediction: M

Target: G 	|	 Prediction: M

Target: Q 	|	 Prediction: M

Target: V 	|	 Prediction: M

Target: Y 	|	 Prediction: M

