Constants:

Input Units:		16
Output Units:		26
Hidden Units:		30
Weight Range:		small

**************************************************************

Learning Rate:	5e-06



Training:

Epochs: 0.08423680493667182	|	Error: 500

Epochs: 0.07843194854481358	|	Error: 1000

Epochs: 0.07529153990369432	|	Error: 1500

Epochs: 0.0763268899906474	|	Error: 2000

Epochs: 0.06996752342743146	|	Error: 2500

Epochs: 0.06912807985084835	|	Error: 3000

Epochs: 0.07164261792281032	|	Error: 3500

Epochs: 0.06835328251613489	|	Error: 4000

Epochs: 0.06649363282997764	|	Error: 4500

Epochs: 0.06581854213251154	|	Error: 5000

Epochs: 0.06379454413698975	|	Error: 5500

Epochs: 0.06332952145443092	|	Error: 6000

Epochs: 0.06354668174249893	|	Error: 6500

Epochs: 0.06384395198433793	|	Error: 7000

Epochs: 0.06317020367072927	|	Error: 7500

Epochs: 0.06079913144276482	|	Error: 8000

Epochs: 0.06056435067113989	|	Error: 8500

Epochs: 0.06200359656006162	|	Error: 9000

Epochs: 0.06039712145897984	|	Error: 9500

Epochs: 0.06102607087031709	|	Error: 10000



Testing output

Target: U 	|	 Prediction: U

Target: F 	|	 Prediction: F

Target: H 	|	 Prediction: X

Target: B 	|	 Prediction: B

Target: E 	|	 Prediction: X

Target: H 	|	 Prediction: S

Target: U 	|	 Prediction: U

Target: W 	|	 Prediction: W

Target: S 	|	 Prediction: S

Target: O 	|	 Prediction: O

Target: V 	|	 Prediction: V

Target: A 	|	 Prediction: A

Target: C 	|	 Prediction: C

Target: B 	|	 Prediction: B

Target: A 	|	 Prediction: A

Target: H 	|	 Prediction: O

Target: H 	|	 Prediction: H

Target: R 	|	 Prediction: R

Target: X 	|	 Prediction: X

Target: O 	|	 Prediction: G

Target: R 	|	 Prediction: K

Target: O 	|	 Prediction: O

Target: W 	|	 Prediction: W

Target: J 	|	 Prediction: J

Target: V 	|	 Prediction: V

Target: K 	|	 Prediction: K

Target: S 	|	 Prediction: B

Target: C 	|	 Prediction: C

Target: Q 	|	 Prediction: Q

Target: X 	|	 Prediction: X

Target: A 	|	 Prediction: A

Target: F 	|	 Prediction: F

Target: T 	|	 Prediction: T

Target: O 	|	 Prediction: O

Target: G 	|	 Prediction: Q

Target: K 	|	 Prediction: U

Target: Y 	|	 Prediction: Y

Target: H 	|	 Prediction: N

Target: Z 	|	 Prediction: Z

Target: C 	|	 Prediction: C

Target: P 	|	 Prediction: P

Target: C 	|	 Prediction: C

Target: Z 	|	 Prediction: Z

Target: H 	|	 Prediction: H

Target: H 	|	 Prediction: H

Target: O 	|	 Prediction: O

Target: R 	|	 Prediction: R

Target: A 	|	 Prediction: A

Target: Y 	|	 Prediction: Q

Target: N 	|	 Prediction: N

Target: Q 	|	 Prediction: Q

Target: F 	|	 Prediction: F

Target: I 	|	 Prediction: D

Target: I 	|	 Prediction: I

Target: R 	|	 Prediction: K

Target: J 	|	 Prediction: J

Target: T 	|	 Prediction: T

Target: D 	|	 Prediction: D

Target: Q 	|	 Prediction: Q

Target: P 	|	 Prediction: P

Target: P 	|	 Prediction: P

Target: V 	|	 Prediction: V

Target: W 	|	 Prediction: W

Target: J 	|	 Prediction: J

Target: P 	|	 Prediction: D

Target: K 	|	 Prediction: R

Target: M 	|	 Prediction: B

Target: K 	|	 Prediction: R

Target: N 	|	 Prediction: N

Target: P 	|	 Prediction: B

Target: O 	|	 Prediction: O

